,ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,Unnamed: 0
23,5105171.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,-12238.0,-2187.0,1,1,1,0,Managers,4.0,
24,5105172.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,-12238.0,-2187.0,1,1,1,0,Managers,4.0,
25,5105173.0,M,N,Y,2.0,450000.0,Commercial associate,Higher education,Married,House / apartment,-12238.0,-2187.0,1,1,1,0,Managers,4.0,
26,5105178.0,M,N,Y,0.0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-16165.0,-848.0,1,1,0,0,Laborers,2.0,
27,5105181.0,M,N,Y,0.0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-16165.0,-848.0,1,1,0,0,Laborers,2.0,
28,5105183.0,M,N,Y,0.0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-16165.0,-848.0,1,1,0,0,Laborers,2.0,
29,5105184.0,M,N,Y,0.0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-16165.0,-848.0,1,1,0,0,Laborers,2.0,
30,5105185.0,M,N,Y,0.0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-16165.0,-848.0,1,1,0,0,Laborers,2.0,
31,5105186.0,M,N,Y,0.0,315000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10499.0,-545.0,1,0,0,1,Laborers,1.0,
32,5105187.0,M,N,Y,0.0,315000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10499.0,-545.0,1,0,0,1,Laborers,1.0,
33,5105188.0,M,N,Y,0.0,315000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10499.0,-545.0,1,0,0,1,Laborers,1.0,
34,5105189.0,M,N,Y,0.0,315000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10499.0,-545.0,1,0,0,1,Laborers,1.0,
35,5105190.0,M,N,Y,0.0,315000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10499.0,-545.0,1,0,0,1,Laborers,1.0,
36,5105191.0,M,N,Y,0.0,315000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10499.0,-545.0,1,0,0,1,Laborers,1.0,
37,5105192.0,M,N,Y,0.0,315000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10499.0,-545.0,1,0,0,1,Laborers,1.0,
38,5105193.0,M,N,Y,0.0,315000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10499.0,-545.0,1,0,0,1,Laborers,1.0,
39,5105194.0,M,N,Y,0.0,315000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10499.0,-545.0,1,0,0,1,Laborers,1.0,
40,5105195.0,M,N,Y,0.0,315000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10499.0,-545.0,1,0,0,1,Laborers,1.0,
41,5105196.0,M,N,Y,0.0,315000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10499.0,-545.0,1,0,0,1,Laborers,1.0,
42,5105197.0,M,N,Y,0.0,315000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10499.0,-545.0,1,0,0,1,Laborers,1.0,
43,5105200.0,M,Y,Y,2.0,180000.0,Working,Higher education,Married,House / apartment,-17330.0,-848.0,1,0,0,0,Drivers,4.0,
44,5105205.0,M,Y,Y,2.0,180000.0,Working,Higher education,Married,House / apartment,-17330.0,-848.0,1,0,0,0,Drivers,4.0,
45,5105206.0,M,Y,Y,2.0,180000.0,Working,Higher education,Married,House / apartment,-17330.0,-848.0,1,0,0,0,Drivers,4.0,
46,5105208.0,F,N,N,0.0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16017.0,-1398.0,1,0,0,0,Laborers,2.0,
47,5105210.0,F,N,N,0.0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16017.0,-1398.0,1,0,0,0,Laborers,2.0,
48,5105211.0,F,N,N,0.0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16017.0,-1398.0,1,0,0,0,Laborers,2.0,
49,5105212.0,F,N,N,0.0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16017.0,-1398.0,1,0,0,0,Laborers,2.0,
50,5105213.0,F,N,N,0.0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16017.0,-1398.0,1,0,0,0,Laborers,2.0,
51,6586899.0,F,Y,Y,0.0,279000.0,Working,Higher education,Married,House / apartment,-9949.0,-1229.0,1,0,0,1,IT staff,2.0,
52,6586900.0,F,Y,Y,0.0,279000.0,Working,Higher education,Married,House / apartment,-9949.0,-1229.0,1,0,0,1,IT staff,2.0,
53,5105217.0,F,Y,N,1.0,85500.0,State servant,Higher education,Married,House / apartment,-10044.0,-971.0,1,0,0,1,Accountants,3.0,
54,5105218.0,F,Y,N,1.0,85500.0,State servant,Higher education,Married,House / apartment,-10044.0,-971.0,1,0,0,1,Accountants,3.0,
55,5105219.0,M,N,Y,0.0,135000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,-8755.0,-1061.0,1,0,0,0,Laborers,1.0,
56,5105220.0,M,N,Y,0.0,135000.0,Working,Secondary / secondary special,Single / not married,Rented apartment,-8755.0,-1061.0,1,0,0,0,Laborers,1.0,
57,5105221.0,F,Y,Y,1.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15068.0,-2067.0,1,0,0,0,Sales staff,3.0,
58,5105222.0,F,Y,Y,1.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15068.0,-2067.0,1,0,0,0,Sales staff,3.0,
59,5105224.0,F,Y,Y,1.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15068.0,-2067.0,1,0,0,0,Sales staff,3.0,
60,5513263.0,F,Y,Y,1.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15068.0,-2067.0,1,0,0,0,Sales staff,3.0,
61,5105225.0,F,N,Y,0.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17365.0,-2128.0,1,0,0,0,Laborers,2.0,
62,5105226.0,F,N,Y,0.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17365.0,-2128.0,1,0,0,0,Laborers,2.0,
63,5105227.0,F,N,Y,0.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17365.0,-2128.0,1,0,0,0,Laborers,2.0,
64,5513306.0,F,N,Y,0.0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17365.0,-2128.0,1,0,0,0,Laborers,2.0,
65,5105230.0,F,Y,N,1.0,157500.0,Working,Higher education,Married,House / apartment,-11900.0,-2828.0,1,0,0,0,Laborers,3.0,
66,5105231.0,F,Y,N,1.0,157500.0,Working,Higher education,Married,House / apartment,-11900.0,-2828.0,1,0,0,0,Laborers,3.0,
67,5105237.0,F,N,Y,0.0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-11931.0,-271.0,1,1,1,0,Sales staff,2.0,
68,5105238.0,F,N,Y,0.0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-11931.0,-271.0,1,1,1,0,Sales staff,2.0,
69,5105239.0,M,N,Y,2.0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-12998.0,-392.0,1,1,0,0,Security staff,4.0,
70,5105240.0,M,N,Y,2.0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-12998.0,-392.0,1,1,0,0,Security staff,4.0,
71,5105241.0,F,N,N,0.0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-14133.0,-1214.0,1,0,0,0,Medicine staff,2.0,
72,5105242.0,F,N,N,0.0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-14133.0,-1214.0,1,0,0,0,Medicine staff,2.0,
73,5105245.0,F,N,N,0.0,207000.0,Working,Higher education,Married,House / apartment,-14740.0,-6723.0,1,0,1,0,Core staff,2.0,
74,5105246.0,F,N,N,0.0,207000.0,Working,Higher education,Married,House / apartment,-14740.0,-6723.0,1,0,1,0,Core staff,2.0,
75,5105248.0,F,N,N,0.0,207000.0,Working,Higher education,Married,House / apartment,-14740.0,-6723.0,1,0,1,0,Core staff,2.0,
76,5105249.0,F,N,N,0.0,207000.0,Working,Higher education,Married,House / apartment,-14740.0,-6723.0,1,0,1,0,Core staff,2.0,
77,5105250.0,F,N,N,0.0,207000.0,Working,Higher education,Married,House / apartment,-14740.0,-6723.0,1,0,1,0,Core staff,2.0,
78,5105251.0,F,N,N,0.0,207000.0,Working,Higher education,Married,House / apartment,-14740.0,-6723.0,1,0,1,0,Core staff,2.0,
79,5105252.0,F,N,N,0.0,207000.0,Working,Higher education,Married,House / apartment,-14740.0,-6723.0,1,0,1,0,Core staff,2.0,
80,5105253.0,M,Y,Y,0.0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-13527.0,-1153.0,1,0,0,0,High skill tech staff,2.0,
81,5105254.0,M,Y,Y,0.0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-13527.0,-1153.0,1,0,0,0,High skill tech staff,2.0,
82,5105255.0,M,Y,Y,0.0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-13527.0,-1153.0,1,0,0,0,High skill tech staff,2.0,
83,5105256.0,M,Y,Y,0.0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-13527.0,-1153.0,1,0,0,0,High skill tech staff,2.0,
84,5105257.0,M,Y,Y,0.0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-13527.0,-1153.0,1,0,0,0,High skill tech staff,2.0,
85,5105258.0,M,Y,Y,0.0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-13527.0,-1153.0,1,0,0,0,High skill tech staff,2.0,
86,5105259.0,M,Y,Y,0.0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-13527.0,-1153.0,1,0,0,0,High skill tech staff,2.0,
87,5105260.0,M,N,Y,0.0,180000.0,Working,Incomplete higher,Single / not married,House / apartment,-10305.0,-210.0,1,0,0,1,Laborers,1.0,
88,5105261.0,M,N,Y,0.0,180000.0,Working,Incomplete higher,Single / not married,House / apartment,-10305.0,-210.0,1,0,0,1,Laborers,1.0,
89,5105262.0,M,N,Y,0.0,180000.0,Working,Incomplete higher,Single / not married,House / apartment,-10305.0,-210.0,1,0,0,1,Laborers,1.0,
90,5105263.0,M,N,Y,0.0,180000.0,Working,Incomplete higher,Single / not married,House / apartment,-10305.0,-210.0,1,0,0,1,Laborers,1.0,
91,5105264.0,F,N,Y,2.0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-10705.0,-149.0,1,0,0,0,Core staff,4.0,
92,5105265.0,F,N,Y,2.0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-10705.0,-149.0,1,0,0,0,Core staff,4.0,
93,5105266.0,F,N,Y,2.0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-10705.0,-149.0,1,0,0,0,Core staff,4.0,
94,5513477.0,F,N,Y,2.0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-10705.0,-149.0,1,0,0,0,Core staff,4.0,
95,5105280.0,F,N,Y,1.0,90000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-18682.0,-514.0,1,0,1,0,Laborers,3.0,
96,5105283.0,M,Y,N,0.0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10866.0,-636.0,1,0,0,0,Drivers,1.0,
97,5105288.0,M,Y,N,0.0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10866.0,-636.0,1,0,0,0,Drivers,1.0,
98,5105289.0,M,Y,N,0.0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10866.0,-636.0,1,0,0,0,Drivers,1.0,
99,5105290.0,F,N,N,0.0,112500.0,Working,Secondary / secondary special,Widow,With parents,-10240.0,-818.0,1,1,1,0,Core staff,1.0,
0,0.0,M,Y,Y,1.0,50000.0,Pensioner,Academic degree,Married,Municipal apartment,-20075.0,-4380.0,1,1,1,1,Sales staff,3.0,0.0
